,Headline,Body text
129,Report: Fighting Rising Tide Of Authoritarianism Sounds Like A Lot Of Work,"WASHINGTON'Confirming the challenges associated with preserving liberal democracy, the nation's top political scientists issued a report Friday that found fighting against the rising tide of authoritarianism sounds like a ton of work. 'After extensive analysis, we can state with a high degree of certainty that meaningfully resisting the erosion of equality and personal freedoms would probably be super exhausting,' said lead researcher Jeremy Dwyer, warning that stemming the flow of autocratic rule would require a sustained campaign of political pressure over a long period of time that would likely make Americans tired just to think about. 'Whether it's attending protests, campaigning for progressive candidates, or even committing to ethical purchasing habits, our data show that engaging at this level would be a whole thing that could eat up a bunch of time. The majority of American citizens are very sleepy and want to get back to their beds as soon as possible. Plus, this all sounds kind of like a big pain in the ass.' Dwyer added that the report concluded it would be so much easier to simply march in unthinking lockstep to an all-powerful ruler. "
130,"You're A Piece Of Shit And I Hope Everyone Like You Dies,' Says Biden To Democratic Voter In Stirring Call For Party Unity","OTTUMWA, IA'As part of his effort to reinvigorate the coalition that once put Barack Obama in the White House, presidential candidate Joe Biden issued a moving plea for party unity when he told a Democratic voter 'You're a piece of shit and I hope everyone like you dies,' reports confirmed Thursday. 'Look here, pal, fuck you and fuck anybody who thinks like you,' the former vice president said to a town hall participant in what political experts have hailed as a rousing call for Democrats, independents, and even moderate Republicans to join together in harmony and overcome the divisiveness and rancor that have characterized the Trump era. 'If that's what you believe, you're clearly an idiot, and I don't need your vote. Seriously, you and every single person in this fucking town deserves to die. Now back the hell up before I tear your throat out with my goddamn teeth.' After the event, a screaming, red-faced Biden reportedly continued to share his inspiring vision by informing a group of unwitting Iowans that he could beat their asses with one hand tied behind his back."
131,,"Joe Biden Birthplace: Middle Class, Swing State, USA Electoral Strategy: Inertia Greatest Liability: Prone to speaking publicly Anticipated VP Pick: Stacey Abrams or the other one Position On Iraq War: All of them Campaign Bus: Desegregated during middle of 2008 run Biggest Endorsement: 'Hi, you've reached Barack's voicemail' Number Of Accusations Of Acting Inappropriately Toward Women And Girls: Butter pecan, with mint chocolate chip a very close second Bernie Sanders Childhood Hero: Social Security Political Career: Mayor of Burlington, VT; President of Sovereign State of Burlington; Supreme Leader of Independent Republic of Bernard Best-Selling Album: Bernie Sanders Live At Budokan Biggest Strength: Would virtually lock down Vermont for Democrats Biggest Weakness: Radical views could make him bigger risk in general election than moderate winners Hillary Clinton, John Kerry, and Al Gore Guilty Pleasure: Ayn Rand Greatest Liability: Keen awareness that at 78, he may only have five or six more shots at presidency How He Plans To Pay For Medicare For All: With money Elizabeth Warren Background: Republican on her father's side Gender: Really? Wow. Ethnicity: Depends on the paperwork Credentials: Completed Barack Obama's online Presidential MasterClass Greatest Liability: Thoughtful, meticulously researched policy positions Legal History: Bravely helped corporations stand up to suffering coal miners Previous Political Affiliation: Republican (1967-1996), Whig (1832-1967), Anti-Masonic (1828-1832) Stance On Private Fundraisers: Unethical unless her campaign could benefit from it Michael Bloomberg Birthplace: Bloomberg Memorial Hospital, Bloombergsville, MA Source Of Wealth: Extremely opportune bet on 1985 Chicago Bears Campaign Slogan: 'Who Do I Make This Out To?' Plan For National Debt: 19 years of daily wire transfers (just under $10,000 each) traced to an offshore personal checking account Unique Selling Point: Can act as bridge between Forbes 1-10 and 11-20 richest people in world Biggest Hurdle: Convincing voters he exists outside television set Number Of Media Companies He Owns Definitely Maintaining Journalistic Rigor In Regard To His Campaign: 1 Reason For Running As Democrat: Republicans already had a guy Pete Buttigieg Birthplace: Hardscrabble, down-on-its-luck section of Notre Dame campus Favorite Childhood Memory: Smiling wryly and saying, 'What a shame,' when Sarah Hagersmith's elaborate volcano mysteriously malfunctioned and lost her the coveted sixth-grade science fair trophy Military Experience: Seven months in Afghanistan serving in the Anecdote Corps For Future Presidential Candidates Early Political Career: First gained prominence as youngest-ever resident of South Bend, IN Connection To Hispanic Community: Intermediate per Duolingo Military Nickname: The Butcher of Kabul Interesting Personal Fact: None Policy Positions: Listen, no candidate is perfect Andrew Yang Birthplace: Blockchain Reddit forum Political Party: Libertarian Campaign Slogan: 'Join The Group Of People Who Support Andrew Yang' Greatest Obstacle To Nomination: America's deep-seated hatred of math Reason For Campaign: Clearly gunning for even single mention on CNN Climate Change Plan: Leave halfway interesting Earth for the robots Unexpected Success Over Multiple Establishment Candidates Proof That U.S. Voters Desperate For Massive Change To Status Quo: That doesn't sound right First Promise He'll Break If Elected: $1,000 a month per person Freedom Dividend Tom Steyer Name: Tom Steyer Type Of Man: Business How He Made Fortune: Fossil fuels but now he's really sorry Biggest Debate Moment: Having gall to attend Preferred Weapon: Chain Current Polling: Second among billionaires seeking Democratic nomination Political Experience: Has had many of the same opinions as leading Democrats Who He'd Vote For Besides Himself: Not a registered voter Amy Klobuchar Home State: The Midwest Personal Record For Making Campaign Intern Cry: 6.8 seconds Hours Spent Studying For Each Debate Joke: 3 Primary Strategy: Hope Iowa's population at least 30% cable news pundits Biggest Strength: Hasn't attracted enough attention to have major flaws uncovered Experience Measured In Mayor Petes: 4.5 Favorite Animal: Ants burning under magnifying glass Expected Time Of Campaign Suspension: Two to three weeks Tulsi Gabbard Background: Became colonial subject of American empire on April 12, 1981 Primary Goal of 2020 Campaign: Defeat Hillary Clinton View On Impeachment: Present Favorite Alice In Chains Album: Jar Of Flies Mentions Military Service: Every 3.32 minutes Biggest Liability: Friendship with unspeakably violent authoritarian leader Narenda Modi LGBTQ Views: Staunchly pro-political convenience Can Name Even One Type Of Candy: No"
132,Kushner Promises Israel Plan Will Relocate All Palestinians To Generous Swath Of Mediterranean Sea,"WASHINGTON'Claiming that the proposal represented a 'realistic two-state solution,' Jared Kushner held a press conference Wednesday to make assurances that the administration's Israel plan would relocate all Palestinians to a generous swath of the Mediterranean Sea. 'We have not forgotten about the Palestinian people, and this roadmap will allow them to live in peace within the briny depths of the Mediterranean,' said Kushner, noting that the miles of open water represented a significant increase in Palestanian territory. 'This plan will also allow Palestine to place its capital directly in the Strait of Gibraltar, where it will be separated from Israeli territory by a sea wall. The Palestinians will be given every opportunity to swim and splash around as long as they don't attempt to impede on Israeli sovereignty by trying to crawl out of the water or wash up on the beach.' Kushner added that as a further concession to the Palestinain people, the plan would include a four-year freeze before Israelis could annex the Mediterranean and drive the Palestinians into the Atlantic Ocean."
133,Sanders Unveils Job-Training Program To Provide Meaningful Work To Low-Skilled Op-Ed Writers,"WASHINGTON'Explaining that as president he would ensure his policies didn't leave any Americans behind, Senator Bernie Sanders reportedly unveiled plans Wednesday for a job-training program that would provide meaningful work to low-skilled op-ed writers. 'I understand that if I win the presidency, many Americans are concerned about the effect that changing economic priorities will have on their jobs, which is why I'm committed to making sure that the nation's unskilled columnists receive every opportunity to learn material skills that will enable them to find a rewarding position,' said Sanders, adding that his platform allocated hundreds of millions of dollars a year to ensure workers like opinion columnists who lacked qualifications for any skilled labor job would receive instruction in a career of their choice, such as nursing, childcare, or construction. 'It's true that not every industry makes sense for the world we need to build, whether it's coal mining, private health insurance, or writing histrionic editorials with little factual basis in our nation's newspapers. It pains me to see so many op-ed writers out there who have received so little training or education that they have no capacity to do viable work. But I believe that these op-ed writers and editorial board members want to be productive members of society, and my presidency will do everything it can to help them find work with dignity.' Sanders added that it was an unfortunate result of the U.S. economic system that so many Americans found themselves stuck in low-skilled op-ed writing jobs in the first place."
134,Chris Matthews Warns Bernie Sanders Victory Runs Risk Of Making Him Look Stupid 2 Elections In A Row,"NEW YORK'Cautioning voters against walking down such a dangerous path without fully understanding the potential consequences, MSNBC pundit Chris Matthews warned Hardball viewers Tuesday that Bernie Sanders winning the Democratic party's nomination would run the risk of making him look stupid in two consecutive elections. 'Before anyone casts a vote for Senator Sanders in the primary, they need to look deep inside and consider the ramifications of making me look like a completely out-of-touch idiot again,' said Matthews, insisting that a strong showing from Sanders in early-voting primaries could lead to the complete and utter destruction of the American political commentator's credibility. 'We can't afford to go down the same road we did in 2016. The cost is simply too great to have another four years of me feeling like a clueless fucking moron. Is that a risk Bernie supporters are willing to take?' At press time, a teary-eyed Matthews brought Hardball to a close by asserting that a Sanders presidency could negatively affect him for decades."
135,Joni Ernst Insists She Hasn't Seen Any Impeachment Evidence That Has Changed Her Self-Serving Political Calculus,"WASHINGTON'Suggesting that she was likely to vote to acquit, Sen. Joni Ernst (R-IA) told reporters Tuesday that she still hadn't seen any evidence in the impeachment process that had changed her self-serving political calculus. 'I've kept an open mind from the beginning, but nothing I have seen thus far has altered the fundamental nature of my reelection prospects in my home state,' said Ernst, adding that while some of the president's actions have been questionable, she didn't believe they had risen to a level that would harm her standing amongst conservative Iowa voters. 'Though they've had plenty of opportunities, Democrats have failed to make a persuasive case that Trump's behavior would lead to my constituents abandoning me en masse, and unless I see some arguments of that nature soon, I think my mind is made up.' Ernst added that she took this responsibility seriously as she had given a sacred oath to consolidate her grip on power by whatever means necessary."
136,Key Players In Trump's Impeachment Trial,"The House of Representatives approved articles of impeachment against President Donald Trump on December 18, 2019, then sent those articles to the Senate for a formal trial, a process that has involved a whirlwind of figures from Congress, the legal world, and Trump's orbit. The Onion provides a guide to the key players in Trump's impeachment trial. Lovable ne'er-do-well scamp. Trump's defense attorney is expected to argue against statements made during the Clinton impeachment by special prosecutor Ken Starr. Honestly kind of bored by this cakewalk. A staunch defender of the president, the Republican congressman has a deep connection to the case both as an investigator and co-conspirator. GOP senator considered most likely to make the loudest sigh before acquitting Trump. The Senate minority leader wants to hear from witnesses in the White House, but we all want things we'll never get. As a servant of the law, finds it impossible to sit on the sidelines while a wealthy sex predator faces consequences. Trump's former advisor has agreed to offer explosive testimony against the president for $5 per word. The hesitant speaker of the House eventually pushed through articles of impeachment, while making it clear she never thought through any of this. Donald Trump is the 45th and current president of the United States. As the lead impeachment manager, there was no better choice to provide the heavy-handedness, Russia hysteria, and whiff of corruption the Democrats needed to ensure the nation tuned out. The longtime White House maid is said to have been a witness to many of the events in question. But is she more than she seems?"
137,CBS Inks Deal For 30-Episode Bloomberg Ad,"NEW YORK'Citing its productive relationship with the multibillionaire in the two months since he announced his candidacy, CBS officials confirmed Tuesday that the network had inked a deal to air a 30-episode advertisement for Michael Bloomberg's presidential campaign. 'We've had a great run with Mayor Bloomberg's shorter ads, so we're thrilled to welcome him into our lineup with a full series of hour-long episodic commercials,' said a spokesperson for the television network, indicating the commercials will run immediately after NCIS on Tuesdays, though independent reports have confirmed they will also re-air throughout the week as often as the former New York mayor wants them to. 'Mike is a relentless, self-made presidential candidate we think will really resonate with viewers when they are given this opportunity to see the full arc of his run for the White House. We have his campaign merchandise for sale in CBS's online store, and with any luck, we'll soon be in talks about a second 30-episode ad. Frankly, we're willing to keep this running for as many seasons as the mayor would like.' CBS officials said the deal included a proposed crossover episode of Young Sheldon in which Bloomberg would guest star, warning the Cooper family about the dangers of consuming large, sugary drinks."
138,,
139,Bolton Pledges To Donate All Proceeds From Book Towards Killing Iranians,
140,Amy Klobuchar Enters 18th Minute Of Tense Standoff With Iowa Rally Crowd Who Haven't Laughed At Her Joke,
141,Mike Pompeo: 'There Is Overwhelming And Undeniable Evidence To Support Going To War With Whoever',"WASHINGTON'Citing rapidly escalating tensions, increasing frequency of treaty violations, and deteriorating diplomatic relations across the board, Secretary of State Mike Pompeo stated Monday that the United States has overwhelming and undeniable evidence to support going to war with whoever. 'Make no mistake: America will not sit idly by while someone or other engages in what we say are continued irrefutable acts of aggression,' said Pompeo, emphasizing that the United States reserves the right to exercise full military might in order to protect its political and economic interests wherever. 'Although the nation in question may be an undetermined or undefined distance from America's borders, it remains crucial to protect our sovereignty and come to the aid of our allies, if any, in someplace, somewhere on the globe. We even have good reason to suspect that pretty much anyone anywhere is currently in the process of developing a nuclear arsenal.' Pompeo also confirmed that the Pentagon had detailed contingency plans for possible preemptive strikes on everywhere."
142,Liberals Say Sanders's Acceptance Of Rogan Endorsement Sends Dangerous Message He Trying To Win Election,"WASHINGTON'Slamming the campaign for promoting the popular podcaster's backing, liberals said Friday that Bernie Sanders's acceptance of Joe Rogan's endorsement sends a dangerous message that the candidate is trying to win the 2020 presidential election. 'This is just the Sanders campaign opening the gates to a plurality of people who would vote for him and help him win the presidency,' said political commentator Scott Griffin, who called the campaign's promotion of Rogan's endorsement a true 'mask off' moment, exposing Sanders's goal of winning the Democratic primary and eventually the general election. 'It's very unnerving to see a Democratic candidate like Bernie Sanders try to court voters from varying constituencies and demographics. It's like his whole strategy is beating Trump. We saw hints of this in 2016, but I'm truly sickened to see it rearing its ugly head again. I'm all for creating a Democratic majority, but not if we have to accept more people than the other side has.' Griffin added that it was even more disturbing that Sanders would attempt this during an election year."
143,Melting Giraffe Congressman Warns Impeachment Distracting From Surreal Issues,"WASHINGTON'Arguing that a protracted congressional trial wasn't in the best interests of everyday floating nude Americans, melting giraffe congressman Fauna Anuaf reportedly warned Friday that focusing on the impeachment of President Donald Trump was distracting from the surreal issues. 'When there are so many people in this country imprisoned inside two-dimensional towers or struggling with their legs turning into water, we cannot let ourselves get caught up in a biased proceeding that does nothing to address the surreal problems many Americans face,' said the melting giraffe congressman (ﾅ・-・・・), adding that in his district, residents were worried about biomorphic trains materializing through their walls, orca whales trapped in bottles on an endless desert landscape, or being flayed on a fainting couch while three heads in bowler hats screamed that their body is a chorus of bodies diffusing under the heat of time itself, not some court proceeding. 'The moment my constituents poured candle wax into the endless thermometer to elect me to Congress, I took their wailing approval as a solemn reminder to keep focused on the surreal issues. At every town hall back in my inverted ether, my constituents come to slice my eyeball, which I understand as a sign that impeachment doesn't enjoy broad support. And we need to stop this partisan bickering'I didn't swear an oath to be a Democrat or Republican; I swore an o"
144,Trump Makes Powerful Pro-Life Case By Speaking About The Joys Of Neglecting A Child,"WASHINGTON'Speaking to thousands of March For Life protesters assembled on the National Mall, President Donald Trump took to the stage Friday to make a powerful pro-life case about the joys of neglecting a child. 'Of course, I'm a father, and I had my thoughts about terminating them all, but I'm standing before you today to tell you that I'm glad I didn't because I would never have gotten to experience the simple but incredible pleasures of pawning them off on the help for the first decade or so of their lives,' said Trump, defending the anti-abortion movement with a stirring speech about how profoundly being an absent and indifferent father had affected his life. 'I wish I could describe to you how good it feels to avoid every soccer game and piano recital, and how incredible it's been watching them grow from a child I couldn't care less about to an adult I barely know. Whether it's Ivanka, Don Jr., or one of the other two, they've each been a blessing that I never would have known if they had been aborted.' Trump went on to bring several audience members to tears by describing in detail the moment he first realized he'd be able to bully and emotionally terrorize his children forever. "
145,Trump Woos March For Life Crowd By Kissing Supporter's Unborn Baby,
146,Trump Lifts Obama-Era Protections Trapping Gangthor The Malevolent In Tomb Deep Within Murky Depths Of Pacific Ocean,"WASHINGTON'Denouncing his predecessor's water regulations as overly restrictive, President Donald Trump announced Thursday he was lifting protections enacted by the Obama administration to permanently entomb Gangthor the Malevolent in a murky trench deep below the Pacific Ocean. 'These horrible rules created by Barack Obama are one of the worst examples of government overreach in our nation's history, and they are totally unfair to the deadly leviathan known as Gangthor,' said Trump, who was later overheard muttering ancient incantations reportedly intended to loosen the cursﾃｨd chains that shackle the nefarious shadow-behemoth to the ocean floor. 'I will personally swim to the bottom of the Pacific and use a golden key inscribed with mysterious runes to unlock Gangthor's lair, where he has slumbered since the destructive Clean Water Rule of 2015 was issued. This shape-shifting, multi-tentacled monster will then once more be unleashed upon the waters of the United States, restoring the property rights of American farmers, fossil fuel companies, and real estate developers.' The president went on to criticize 'prophets of doom' who have predicted Gangthor the Malevolent will rise in a column of smoke and fire upon his release, blocking out the sun and blighting the earth with a thousand years of darkness."
147,Justice Roberts Sternly Admonishes Impeachment Participants To Remember They're At Complete Farce Of A Trial,"WASHINGTON'After he gaveled the Senate to order Wednesday afternoon, Chief Justice John Roberts sternly admonished both President Trump's counsel and House impeachment managers to remember they were participating in a complete farce of a trial. 'As you address members of this deliberative body, please bear in mind that nothing you say or do will have any effect on the completely predetermined outcome of these proceedings,' said Roberts, exhorting the two sides to go ahead and establish facts, promulgate lies, cite the Constitution, or engage in purely cynical bad-faith arguments, because none of it really mattered anyway. 'I wish to remind you this trial is a hollow exercise of decorum with no possibility of achieving productive results of any kind. We're just going through the motions here, we all know how it is going to end, so let's at least try to keep it brief.' At press time, the chief justice had commended both sides for heeding his admonition and working to keep the monumental miscarriage of justice running smoothly."
148,Senate Republicans Force Through Resolution Establishing Wingstop As Official Sponsor Of Impeachment Trial,"WASHINGTON'Over the objections of Democrats who decried the measure as not receiving sufficient debate on the congressional floor, Senate Republicans forced through a resolution Wednesday establishing Wingstop as the official sponsor of President Donald Trump's impeachment trial. 'Resolved that effective immediately, all questions, witness statements, and other utterances must include a recommendation to eat at Wingstop, and the Wingstop logo must be clearly visible on all name placards, subpoenaed documents, and other written material,' read Majority Leader Mitch McConnell (R-KY) from the resolution on the Senate floor, adding that Wingstop's $25 million deal to sponsor the impeachment trial was the best offer Congress received and ignoring pleas from Minority Leader Chuck Schumer (D-NY) to wait for Panera Bread to finalize its proposal. 'This resolution also stipulates that each senator must be photographed with Wingstop's lemon pepper wings on each day of the trial as part of our promotion, all social media posts about the impeachment must be accompanied with the #RightWingstop hashtag, and that the only food permitted in the chamber will be Wingstop wing combos with fries or veggie sticks and a 20-ounce soft drink. This is in order to ensure the impeachment trial remains a place where flavor gets its wings. Democracy works best when we're full of chicken.' The resolution did make an exception, however, for Chief Justice John Roberts, who informed the Senate that the Wingstop contract could not apply to him, as he has an exclusive sponsorship with Buffalo Wild Wings."
149,Contrarian 'New York Times' Travel Section Breaks With Paper To Endorse Deval Patrick For Democratic Nomination,"NEW YORK'In a dramatic challenge of the editorial board, The New York Times travel section broke with the paper Tuesday to endorse former Massachusetts governor Deval Patrick for the Democratic nomination. 'Given his impressive track record as a card-carrying Hyatt Loyalty Program member and the only candidate with TSA PreCheck, we are left no choice but to split with the main body of this organization and endorse Deval Patrick,' said travel editor Amy Virshup, explaining that the section's values have been diverging from the rest of the newspaper for years and that The Time's co-endorsement of Klobuchar and Warren did not reflect the values of American jet-setters nearly as well as Patrick. 'Patrick thoroughly impressed us with his comprehensive plan for the best way to spend 36 hours in Marrakech, and proved he's ready to lead with his extensive knowledge of everything from using concierge services to where to find the best bar in the Seattle area. Whether you prefer a family vacation or a romantic getaway, for the conscientious traveler, there is no better candidate than Deval Patrick.' At press time, an emergent Deval Patrick had picked up endorsements from every major American newspaper's travel section."
150,Kellyanne Conway Suggests Martin Luther King Jr. Would Have Traveled To Ukraine For Dirt On Biden,"WASHINGTON'Praising the civil rights leader for his determination and commitment to justice, Kellyanne Conway, senior counselor to the president, suggested to reporters Monday that Martin Luther King Jr. would have traveled to Ukraine for dirt on Joe Biden. 'Dr. Martin Luther King, who was known for his nonviolent tactics, including protests and community organizing, would certainly have traveled abroad to pressure foreign nations to expose a political enemy's secrets,' said Conway, who explained that if King were alive today, he would without a doubt hop on a flight to Kiev to meet with Ukrainian government officials to acquire potentially damaging information about Biden's younger son, Hunter. 'While much of the United States remains divided, Dr. King had a brave and bold vision hinged on withholding aid from Ukraine for personal political purposes. He understood that civil disobedience is essential in fighting a corrupt system, so he wasn't afraid to spend the night in jail or do a little quid pro quo. In fact, some of his most famous tweets were written from jail.' Conway added that it was a shame such a great civil rights leader had been impeached so young."
151,"They Can't Impeach Someone They Can't See,' Say Trump Boys Cramming Dad Into Homemade Bunker Under Oval Office Desk","WASHINGTON'Hastily concealing the 'super top secret' shelter's entrance with a couch cushion, the Trump boys reportedly declared 'They can't impeach someone they can't see' Friday while cramming their dad into a homemade bunker under the Oval Office desk. 'The House peach managers [sic] are never, ever gonna be able to find dad way deep in here!' said Donald Trump Jr., who stapled a note with the message 'definitely no president inside' to blankets as an extra security precaution while Eric Trump punched air holes through the pillows with a pair of scissors. 'Stay right there, dad, and don't move till 2050. We read through the whole constant tuition [sic] and it says those guys can't impeach you if they can't find you. Here are two pieces of bread for dinners, and a straw you can use as a snorkel. Close your eyes real tight and you'll be totally invisible. Okay, see you later. We're gonna glue the bunker door shut.' At press time, the Trump boys were panicking after realizing they'd lost their father."
152,Underwear-Clad Senators Line Up Before Congressional Doctor To Make Sure They Physically Fit For Impeachment,
153,Republican Senators Maintain They'll Weigh All Evidence Before Carrying Trump Out On Shoulders,"WASHINGTON'Stressing that their duty to uphold the Constitution required impartiality in their role as jurors, Republican senators told reporters Friday that they would weigh all evidence before lifting President Donald Trump into the air and carrying him outside on their shoulders. 'Look, as senators, we swore a solemn oath to deliver justice, and I intend to abide by that precisely as we use this trial to scrutinize the facts and then determine exactly how'and indeed, if'we will storm into the Oval Office, hoist the delighted president aloft, and regale him with spirited rounds of 'Hip, hip, hurray,'' said Sen. Mitch McConnell, noting that his awesome responsibility as the chamber's majority leader required him to tamp down on any partisan speculation on whether Senate Republicans would rush to raise the president up onto their shoulders while singing 'He's A Jolly Good Fellow' or if Senate Republicans would opt for a more stately procession in which they conveyed the recently acquitted Trump past each and every Democratic congressperson's office. 'Unlike some of my liberal colleagues, I understand my solemn role in this trial is to examine all the information at hand before passing judgment. Then, and only then, can we know whether it's a reasonable course of action to deploy some form of red-white-and-blue confetti while repeatedly tossing President Trump into the air. Until then, it would simply be irresponsible to comment on whether or not we will incorporate party horns, noisemakers, or a big cake covered with lit sparklers into the proceedings.' At press time, Democratic Sen. Joe Manchin had commended McConnell on his commitment to impartiality as they came to a swift conclusion on whether or not they should cue up Kool and the Gang's 'Celebration' on the Senate's speaker system."
154,CNN Reveals Bernie Sanders Running For President Of Country With History Of Sexism,"WASHINGTON'Calling their bombshell report incredibly damning, CNN revealed Thursday that Democratic candidate Bernie Sanders has been knowingly running a campaign to become president of a country with a long history of sexism. 'This new evidence proves beyond a doubt that Bernie Sanders strongly wants to lead a nation that has repeatedly enabled, supported, and encouraged misogyny,' said Anderson Cooper in a breaking news segment, claiming to have several documents directly linking Sanders to a country that did not even allow women to vote until the 20th century. 'Right here is a transcript of the text this woman-hating country was founded upon, a country which he willfully lives in and has publicly sworn an oath to, mind you. On just the first page it explicitly declares that all men are created equal, with absolutely no mention of women. And down here'look closely at these signatures that ratified this document as the supreme law of the land. You guessed it, all men.' At press time, CNN confirmed that Sanders had not yet denied his close ties to this country nor its tens of millions of residents with deeply ingrained biases against women."
155,Stephen Miller Hurt At Being Passed Over For Job Stalking Female Ambassador,"WASHINGTON'After learning that Ukraine police had opened an investigation into whether associates of the president had surveilled the diplomat in Kyiv last year, White House senior advisor Stephen Miller was reportedly upset Thursday at being passed over for a job stalking female U.S. ambassador Marie Yovanovitch. 'When I found out that some of Giuliani's goons had been tailing the ambassador around Ukraine, my heart just sank'I mean, how could they decide to follow a lady around and not pick me to do the job?' said Miller, who added that after all the thankless tasks he had performed for the Trump administration over three-plus years in office, he figured he would be at the top of the list when a plum gig like stalking a woman on the administration's behalf came along. 'If I had known there was an opening for shadowing an important lady, I would've absolutely thrown my hat in the ring. Maybe I got passed over because I'm already stalking a bunch of women here in the U.S., but I still would've been able to manage my time and make it work. It really hurts that they didn't even bother to ask. It would be one thing if I didn't have any experience in tracking women without them knowing, but I'm really good at it. I can keep quiet in an alleyway, or stay awake idling in the car, or huddle in a closet without a peep for hours. And I'm really good at gathering hair and undergarments. I just wish they'd given me a chance.' At press time, Miller had decided to cheer himself up by lying below the former ambassador's bed wearing her clothing while she was asleep."
156,CNN Audio Analysis Reveals Biden Caught On Wet Mic While Chewing On Own Microphone,"DES MOINES, IA'Emphasizing that the leaked recording would clear up any confusion about the various crunching, slurping, and gurgling sounds heard after the Iowa Democratic Debate, CNN released a wet mic audio analysis Thursday that revealed Joe Biden had been caught chewing on his own microphone. 'While at first, the recording only picks up Biden shaking hands and joking with his fellow candidates, we eventually hear him tapping on the mic and whispering, 'Oh, what is this? Come to papa,'' said CNN audio engineer Kristen Jennings, adding that the former vice president can then be heard sniffing the lavalier, licking it once, and then sticking it directly into his mouth. 'After hours of analysis, our team has determined that Biden then attempted to chew the mic before saying 'ew' and spitting it out onto the ground. Then, a few minutes later, he decided to pick it back up, pop it back into his mouth, chew it, and ultimately, swallow it.' At press time, CNN confirmed that the microphone's audio had also picked up ample evidence that Biden had successfully passed the mic two days later."
157,,
158,Articles Of Impeachment Sent Through Winding Maze Of Pneumatic Tubes On Journey To Senate,
159,Public Disapproval Of Iran Approach Convinces Trump To Reverse Soleimani Killing,"WASHINGTON'Backtracking in light of recent polls that indicate public dismay over his handling of Iran, President Trump announced Wednesday he was moving forward with a plan to reverse the killing of top Iranian general Qassem Soleimani. 'I have overturned the decision to assassinate Gen. Soleimani and ordered our military to rescind the Jan. 3 drone strike that destroyed his convoy at Baghdad International Airport,' said Trump, who explained the move would revoke Soleimani's status as a Shiite martyr and decrease the likelihood of the United States being drawn into an unpopular war with Iran. 'The U.S. Air Force operation that killed the general was conducted without the consent of Congress and, more significantly, without the backing of the American people. So today our forces in the region will take immediate action to return Soleimani to his family unexploded. This doesn't mean we won't take him out in a future operation if surveys indicate a majority of swing-state voters approve of such an action, but for now we will allow him to resume command of the Quds Force.' The president added that he has yet to see any polls that would convince him to retract his October decision to let Turkey kill hundreds of Kurdish civilians in Syria."
160,Biden Asks Advisors How Much Longer He Has To Pretend To Be Confused And Doddering To Avoid Criticism,"DES MOINES, IA'Cutting off his chief strategist midway through a daily meeting to express his unwillingness to continue the deception much longer, former Vice President Joe Biden reportedly asked advisors Wednesday how much longer he has to go through the routine of acting confused and doddering in order to avoid criticism. 'Please, guys, I'm so tired of putting on this whole song-and-dance of stumbling over my words at every public appearance and painfully wincing so it seems like I've completely forgotten a foreign leader's name,' said the presumptive frontrunner, looking at each and every one of his advisors with clear, thoughtful eye contact, while stressing that although his consistent lead in polling showed the strategy had worked spectacularly to shield him from any critique of his record, he also longed to drop this 'entire frail-old-man act' and speak to audiences in full sentences that allowed him to robustly articulate his vision for restoring America's soul. 'Just give me a date when I can start fully enunciating my words in TV spots. That's all. Obviously, I can keep doing the simple stuff like biting my wife's finger or challenging audience members to push-up contests seemingly out of nowhere. I know you think that's helpful. I get that it would sink me in the polls if I were held accountable for past statements and actions, but frankly it's just exhausting to be constantly acting this mentally confused when I know I can be so much stronger out there.' At press time, Biden was begging his advisors to at least never again make him punch himself midway through a debate to give the appearance of his eye filling up with blood."
161,Pros And Cons Of Economic Sanctions,"Economic sanctions, in which a country levies financial penalties against another country, entity, or person, are at the center of tense U.S.'Iran relations, and their use in general is a matter of significant debate. The Onion looks at the pros and cons of economic sanctions. Something to say you tried before starting the war you were planning anyway. Shows populace consequences for insisting on being born powerless in dictatorship. More difficult to quantify deaths they cause than straight-up war. Just nice to have something to announce every once in a while. Only harms people without power to retaliate. Innocent money drawn into other parties' conflict. Probably involve at least some math. Damn it. We wanted to travel there one day. Shit. Denies thousands of citizens sweet taste of Pepsi Max. Not as satisfying to invade country whose citizens already sick and starving to death."
162,Pete Buttigieg Trapped In Freezer After Searching Iowa Diner For Back Room With High-Rolling Donors,"BETTENDORF, IOWA'Shivering and shouting for help as his plan to find his supporters went awry, presidential candidate Pete Buttigieg was reportedly trapped in a walk-in freezer Thursday after searching an Iowa diner for its back room with high-rolling donors. 'Help! Help! Can anyone hear me? I don't understand where my donors are if they're not in this cooler,' said Buttigieg, who had reportedly breezed through the diner, ignoring its clientele, before asking a line cook where the back room with all the wealthy campaign funders was located, getting frustrated at the man's confusion, and deciding to find it himself by searching for a hidden passageway as the freezer door locked behind him. 'I don't understand'it's usually right here. They have to hide in the back so we can meet in secret outside the prying eyes of the media and all the poor people. Where is the manager? Why on earth would I enter a rinky-dink joint just to hobnob with a bunch of people eating scrambled eggs and getting five bucks for my trouble when I know there's a cushy hidden back room where I can talk to voters who matter over a glass of champagne? Jesus Christ, where's [spokesperson] Lis [Smith] when I need her? I don't know what I'm going to do. I already called for help in eight languages, and I'm starting to get really cold.' At press time, Buttigieg had resorted to doing his campaign's 'High Hopes' dance in an effort to stay warm."
